mrr_code|mrr_rkm|mrr_name|mrr_type|mrr_typedesc|mrr_huc8|mrr_huc8name|mrr_huc6|mrr_huc6name
COTNWC|522.224.031|Cottonwood Creek|River|Entire river or stream.|17060306|Clearwater|170603|Clearwater
NPTH|522.224.038|Nez Perce Tribal Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17060306|Clearwater|170603|Clearwater
BEDRKC|522.224.042|Bedrock Creek|River|Entire river or stream.|17060306|Clearwater|170603|Clearwater
JACKSC|522.224.047|Jacks Creek|River|Entire river or stream.|17060306|Clearwater|170603|Clearwater
BCCAP|522.224.057|Big Canyon Creek Acclimation Facility (Clearwater River)|Acclimation Pond|Acclimation pond or facility.|17060306|Clearwater|170603|Clearwater
BIGCAC|522.224.057|Big Canyon Creek|River|Entire river or stream.|17060306|Clearwater|170603|Clearwater
LITCAC|522.224.057.005|Little Canyon Creek|River|Entire river or stream.|17060306|Clearwater|170603|Clearwater
CLWRNF|522.224.065|North Fork Clearwater River|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060308|Lower North Fork Clearwater|170603|Clearwater
DWORMS|522.224.065|Dworshak NFH, release into mainstem Clearwater River|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17060306|Clearwater|170603|Clearwater
DWORNF|522.224.065.000|Dworshak NFH, release into North Fork Clearwater River|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17060308|Lower North Fork Clearwater|170603|Clearwater
CLWHNF|522.224.065.000|Clearwater Hatchery release into North Fork Clearwater River|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17060308|Lower North Fork Clearwater|170603|Clearwater
OROFC|522.224.072|Orofino Creek|River|Entire river or stream.|17060306|Clearwater|170603|Clearwater
LOLOC|522.224.087|Lolo Creek|River|Entire river or stream.|17060306|Clearwater|170603|Clearwater
LOLTRP|522.224.087.022|Lolo Creek Rotary Screw Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060306|Clearwater|170603|Clearwater
ELDORC|522.224.087.041|Eldorado Creek|River|Entire river or stream.|17060306|Clearwater|170603|Clearwater
CLWRSF|522.224.120|South Fork Clearwater River|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
CLWRMF|522.224.120|Middle Fork Clearwater River|River|Entire river or stream.|17060304|Middle Fork Clearwater|170603|Clearwater
CLEARC|522.224.120.004|Clear Creek|River|Entire river or stream.|17060304|Middle Fork Clearwater|170603|Clearwater
KOOS|522.224.120.004.001|Kooskia National Fish Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17060304|Middle Fork Clearwater|170603|Clearwater
SFCTRP|522.224.120.009|South Fork Clearwater River Rotary Screw Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060305|South Fork Clearwater|170603|Clearwater
LUGUAF|522.224.120.014|Lukes Gulch Acclimation Facility, SF Clearwater River|Acclimation Pond|Acclimation pond or facility.|17060305|South Fork Clearwater|170603|Clearwater
SELWY2|522.224.120.037|Selway River - Moose Creek to headwaters (km 65-147)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060301|Upper Selway|170603|Clearwater
SELWY1|522.224.120.037|Selway River - mouth to Moose Creek (km 0-65)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060302|Lower Selway|170603|Clearwater
LOCHSA|522.224.120.037|Lochsa River|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
LOCTRP|522.224.120.037.000|Lochsa River Screw Trap at Selway Rd Bridge|Trap or Weir|Juvenile or adult fish trap or weir.|17060303|Lochsa|170603|Clearwater
PETEKC|522.224.120.037.003|Pete King Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
CEFLAF|522.224.120.037.008|Cedar Flats Acclimation Facility, Selway River|Acclimation Pond|Acclimation pond or facility.|17060302|Lower Selway|170603|Clearwater
OHARAC|522.224.120.037.012|O'Hara Creek|River|Entire river or stream.|17060302|Lower Selway|170603|Clearwater
CANYOC|522.224.120.037.012|Canyon Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
DEADMC|522.224.120.037.016|Deadman Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
OLDMAC|522.224.120.037.028|Old Man Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
GEDNEC|522.224.120.037.029|Gedney Creek|River|Entire river or stream.|17060302|Lower Selway|170603|Clearwater
GEDCWF|522.224.120.037.029.005|West Fork Gedney Creek|River|Entire river or stream.|17060302|Lower Selway|170603|Clearwater
MEADOC|522.224.120.037.031|Meadow Creek, Selway River|River|Entire river or stream.|17060302|Lower Selway|170603|Clearwater
FISHC|522.224.120.037.039|Fish Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
FISTRP|522.224.120.037.039.002|Fish Creek Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060303|Lochsa|170603|Clearwater
HUNGC|522.224.120.037.039.007|Hungery Creek (Lochsa River Basin)|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
BOULDC|522.224.120.037.042|Boulder Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
BOUTRP|522.224.120.037.042.001|Boulder Creek Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060303|Lochsa|170603|Clearwater
MINKC|522.224.120.037.051|Mink Creek|River|Entire river or stream.|17060302|Lower Selway|170603|Clearwater
3LINKC|522.224.120.037.051|Three Links Creek|River|Entire river or stream.|17060302|Lower Selway|170603|Clearwater
MOOS2C|522.224.120.037.065|Moose Creek (Selway River)|River|Entire river or stream.|17060302|Lower Selway|170603|Clearwater
MOOS2N|522.224.120.037.065.006|North Fork Moose Creek, Selway River|River|Entire river or stream.|17060302|Lower Selway|170603|Clearwater
BEARC|522.224.120.037.081|Bear Creek|River|Entire river or stream.|17060301|Upper Selway|170603|Clearwater
POSTOC|522.224.120.037.082|Post Office Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
WARMSC|522.224.120.037.092|Warm Springs Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
SQUAWC|522.224.120.037.096|Squaw Creek, Lochsa River|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
PAPOOC|522.224.120.037.105|Papoose Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
COLTKC|522.224.120.037.113|Colt Kill Creek - Replaces WHITSC|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
WHITSC|522.224.120.037.113|White Sand Creek - replaced by COLTKC|Archaic|Site codes that were in use at one time, but have been retired and replaced by one or more new site codes.|17060303|Lochsa|170603|Clearwater
CROOKC|522.224.120.037.113|Crooked Fork Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
POWP|522.224.120.037.113|Powell Rearing Pond|Acclimation Pond|Acclimation pond or facility.|17060303|Lochsa|170603|Clearwater
CFCTRP|522.224.120.037.113.003|Crooked Fork Creek Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060303|Lochsa|170603|Clearwater
BRUSHC|522.224.120.037.113.011|Brushy Fork Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
STORMC|522.224.120.037.113.016|Storm Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
COLTC|522.224.120.037.113.020|Colt Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
BIGFLC|522.224.120.037.113.026|Big Flat Creek|River|Entire river or stream.|17060303|Lochsa|170603|Clearwater
RUNNIC|522.224.120.037.253|Running Creek|River|Entire river or stream.|17060301|Upper Selway|170603|Clearwater
EAGLEC|522.224.120.037.253.003|Eagle Creek|River|Entire river or stream.|17060301|Upper Selway|170603|Clearwater
WHITCC|522.224.120.037.264|White Cap Creek|River|Entire river or stream.|17060301|Upper Selway|170603|Clearwater
MILL2C|522.224.120.052|Mill Creek, SF Clearwater River|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
MEAD2C|522.224.120.053|Meadow Creek, South Fork Clearwater|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
JOHNC|522.224.120.056|Johns Creek|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
TWNMIC|522.224.120.069|Twentymile Creek|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
TWNMIT|522.224.120.069.003|Twentymile Creek Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060305|South Fork Clearwater|170603|Clearwater
TENMIC|522.224.120.076|Tenmile Creek|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
NEWSOC|522.224.120.084|Newsome Creek|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
CROOKR|522.224.120.094|Crooked River|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
CROW|522.224.120.094.001|Crooked River weir|Trap or Weir|Juvenile or adult fish trap or weir.|17060305|South Fork Clearwater|170603|Clearwater
CROTRP|522.224.120.094.001|Crooked River Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060305|South Fork Clearwater|170603|Clearwater
RELIEC|522.224.120.094.013|Relief Creek|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
CROOKP|522.224.120.094.015|Crooked River Pond|Acclimation Pond|Acclimation pond or facility.|17060305|South Fork Clearwater|170603|Clearwater
CROP|522.224.120.094.015|Crooked River Pond (Archaic - use CROOKP)|Archaic|Site codes that were in use at one time, but have been retired and replaced by one or more new site codes.|17060305|South Fork Clearwater|170603|Clearwater
FIVEMC|522.224.120.094.018|Five Mile Creek|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
AMERR|522.224.120.101|American River|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
REDR|522.224.120.101|Red River|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
REDTRP|522.224.120.101.006|Red River Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060305|South Fork Clearwater|170603|Clearwater
REDP|522.224.120.101.027|Red River Rearing Pond|Acclimation Pond|Acclimation pond or facility.|17060305|South Fork Clearwater|170603|Clearwater
REDRSF|522.224.120.101.028|South Fork Red River|River|Entire river or stream.|17060305|South Fork Clearwater|170603|Clearwater
SNKTRP|522.225|Snake Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060103|Lower Snake-Asotin|170601|Lower Snake
SWLWPK|522.229|Swallows Park, Snake River at Clarkston, WA.|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17060103|Lower Snake-Asotin|170601|Lower Snake
ASOTIC|522.234|Asotin Creek, Snake River above Clarkston, WA|River|Entire river or stream.|17060103|Lower Snake-Asotin|170601|Lower Snake
GEORGC|522.234.005|George Creek, Asotin Creek watershed|River|Entire river or stream.|17060103|Lower Snake-Asotin|170601|Lower Snake
CHARLC|522.234.022|Charley Creek, Asotin Creek watershed|River|Entire river or stream.|17060103|Lower Snake-Asotin|170601|Lower Snake
ASOTSF|522.234.024|South Fork Asotin Creek|River|Entire river or stream.|17060103|Lower Snake-Asotin|170601|Lower Snake
ASOTNF|522.234.024|North Fork Asotin Creek|River|Entire river or stream.|17060103|Lower Snake-Asotin|170601|Lower Snake
TENMC2|522.237|Tenmile Creek, tributary to Snake River|River|Entire river or stream.|17060103|Lower Snake-Asotin|170601|Lower Snake
CJRAP|522.263|Captain John Rapids Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17060103|Lower Snake-Asotin|170601|Lower Snake
GRAND2|522.271|Grande Ronde River - Wallowa River to headwaters (km 131-325)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060104|Upper Grande Ronde|170601|Lower Snake
GRAND1|522.271|Grande Ronde River - mouth to Wallowa River (km 0-131)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060106|Lower Grande Ronde|170601|Lower Snake
GRNTRP|522.271.002|Grande Ronde River Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060106|Lower Grande Ronde|170601|Lower Snake
JOSEPC|522.271.007|Joseph Creek, Grande Ronde River Basin|River|Entire river or stream.|17060106|Lower Grande Ronde|170601|Lower Snake
CTWD3C|522.271.045|Cottonwood Creek, Grande Ronde River Basin|River|Entire river or stream.|17060106|Lower Grande Ronde|170601|Lower Snake
COTP|522.271.046|Cottonwood Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17060106|Lower Grande Ronde|170601|Lower Snake
COUGRC|522.271.049|Cougar Creek, Grande Ronde Basin|River|Entire river or stream.|17060106|Lower Grande Ronde|170601|Lower Snake
WENR|522.271.073|Wenaha River|River|Entire river or stream.|17060106|Lower Grande Ronde|170601|Lower Snake
WENRNF|522.271.073.035|North Fork Wenaha River|River|Entire river or stream.|17060106|Lower Grande Ronde|170601|Lower Snake
WENRSF|522.271.073.035|South Fork Wenaha River|River|Entire river or stream.|17060106|Lower Grande Ronde|170601|Lower Snake
WALLOR|522.271.131|Wallowa River|River|Entire river or stream.|17060105|Wallowa|170601|Lower Snake
MINAMR|522.271.131.016|Minam River|River|Entire river or stream.|17060105|Wallowa|170601|Lower Snake
BCANF|522.271.131.018.001|Big Canyon Facility|Acclimation Pond|Acclimation pond or facility.|17060105|Wallowa|170601|Lower Snake
LOSTIR|522.271.131.042|Lostine River|River|Entire river or stream.|17060105|Wallowa|170601|Lower Snake
LOSTIW|522.271.131.042.001|Lostine River Weir|Trap or Weir|Juvenile or adult fish trap or weir.|17060105|Wallowa|170601|Lower Snake
LOSTIP|522.271.131.042.021|Lostine River Pond|Acclimation Pond|Acclimation pond or facility.|17060105|Wallowa|170601|Lower Snake
WALH|522.271.131.063.001|Wallowa Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17060105|Wallowa|170601|Lower Snake
WRROOK|522.271.131.068|Wallowa River Heron Rookery|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17060105|Wallowa|170601|Lower Snake
LOOKGC|522.271.137|Lookingglass Creek|River|Entire river or stream.|17060104|Upper Grande Ronde|170601|Lower Snake
LOOH|522.271.137.003|Lookingglass Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17060104|Upper Grande Ronde|170601|Lower Snake
CATHEC|522.271.232|Catherine Creek|River|Entire river or stream.|17060104|Upper Grande Ronde|170601|Lower Snake
CATHEW|522.271.232.032|Catherine Creek Weir|Trap or Weir|Juvenile or adult fish trap or weir.|17060104|Upper Grande Ronde|170601|Lower Snake
LCATHC|522.271.232.044|Little Catherine Creek|River|Entire river or stream.|17060104|Upper Grande Ronde|170601|Lower Snake
CATHEP|522.271.232.048|Catherine Creek Pond|Acclimation Pond|Acclimation pond or facility.|17060104|Upper Grande Ronde|170601|Lower Snake
CATCSF|522.271.232.052|South Fork Catherine Creek|River|Entire river or stream.|17060104|Upper Grande Ronde|170601|Lower Snake
CATCNF|522.271.232.052|North Fork Catherine Creek|River|Entire river or stream.|17060104|Upper Grande Ronde|170601|Lower Snake
CATCMF|522.271.232.052.005|Middle Fork Catherine Creek|River|Entire river or stream.|17060104|Upper Grande Ronde|170601|Lower Snake
GRANDW|522.271.307|Grande Ronde River Weir|Trap or Weir|Juvenile or adult fish trap or weir.|17060104|Upper Grande Ronde|170601|Lower Snake
GRANDP|522.271.320|Grande Ronde River Pond|Acclimation Pond|Acclimation pond or facility.|17060104|Upper Grande Ronde|170601|Lower Snake
SALR1|522.303|Salmon River - mouth to above French Creek (km 0-171)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060209|Lower Salmon|170602|Salmon
SALR4|522.303|Salmon River - Pahsimeroi River to headwaters (km 489-650)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060201|Upper Salmon|170602|Salmon
SALR3|522.303|Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060203|Middle Salmon-Panther|170602|Salmon
SALR2|522.303|Salmon River - above French Creek to Middle Fork Salmon River (km 171-319)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060207|Middle Salmon-Chamberlain|170602|Salmon
WBIRDC|522.303.086|Whitebird Creek|River|Entire river or stream.|17060209|Lower Salmon|170602|Salmon
SALTRP|522.303.103|Salmon Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060209|Lower Salmon|170602|Salmon
SLATEC|522.303.106|Slate Creek, lower Salmon River|River|Entire river or stream.|17060209|Lower Salmon|170602|Salmon
LSALR|522.303.140|Little Salmon River|River|Entire river or stream.|17060210|Little Salmon|170602|Salmon
RAPIDR|522.303.140.007|Rapid River, Little Salmon River|River|Entire river or stream.|17060210|Little Salmon|170602|Salmon
RPDTRP|522.303.140.007.006|Rapid River Smolt Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060210|Little Salmon|170602|Salmon
RAPH|522.303.140.007.006|Rapid River Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17060210|Little Salmon|170602|Salmon
RAPIWF|522.303.140.007.012|West Fork Rapid River|River|Entire river or stream.|17060210|Little Salmon|170602|Salmon
BOUL2C|522.303.140.029|Boulder Creek, Little Salmon River watershed|River|Entire river or stream.|17060210|Little Salmon|170602|Salmon
HAZARC|522.303.140.031|Hazard Creek|River|Entire river or stream.|17060210|Little Salmon|170602|Salmon
HARDC|522.303.140.031.002|Hard Creek|River|Entire river or stream.|17060210|Little Salmon|170602|Salmon
PARTRC|522.303.160|Partridge Creek|River|Entire river or stream.|17060209|Lower Salmon|170602|Salmon
FRENCH|522.303.169|French Creek|River|Entire river or stream.|17060209|Lower Salmon|170602|Salmon
WINDR|522.303.177|Wind River|River|Entire river or stream.|17060207|Middle Salmon-Chamberlain|170602|Salmon
SHEEPC|522.303.188|Sheep Creek|River|Entire river or stream.|17060207|Middle Salmon-Chamberlain|170602|Salmon
CROOC|522.303.200|Crooked Creek|River|Entire river or stream.|17060201|Upper Salmon|170602|Salmon
SALRSF|522.303.215|South Fork Salmon River|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
ELK2C|522.303.215.034|Elk Creek, SF Salmon River|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
SECESR|522.303.215.059|Secesh River|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
ZENAC|522.303.215.059.005|Zena Creek, Secesh River Basin|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
ZENAWF|522.303.215.059.005.003|West Fork Zena Creek, Secesh River Basin|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
SECTRP|522.303.215.059.007|Secesh River Screw Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060208|South Fork Salmon|170602|Salmon
LICKC|522.303.215.059.008|Lick Creek|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
ALEXC|522.303.215.059.033|Alex Creek, Secesh River|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
PIAHC|522.303.215.059.038|Piah Creek, Secesh River Basin|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
GROUSC|522.303.215.059.039|Grouse Creek, Secesh River Basin|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
FLATC|522.303.215.059.039.001|Flat Creek, Secesh River Basin|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
SUMITC|522.303.215.059.045|Summit Creek, Secesh River Basin|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
LAKEC|522.303.215.059.045|Lake Creek|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
RUBYC|522.303.215.059.048|Ruby Creek, Secesh River|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
SAEFSF|522.303.215.060|East Fork South Fork Salmon River|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
JOHNSC|522.303.215.060.024|Johnson Creek|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
JOHTRP|522.303.215.060.024.007|Johnson Creek Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060208|South Fork Salmon|170602|Salmon
BURNLC|522.303.215.060.024.024|Burnt Log Creek|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
YPPL|522.303.215.060.042|Yellow Pine Pit Lake, East Fork South Fork Salmon River|Other|Other physical or geographical feature.|17060208|South Fork Salmon|170602|Salmon
SUGARC|522.303.215.060.043|Sugar Creek, SF Salmon River Basin|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
LSFTRP|522.303.215.061|Lower SF Salmon River Trap at rkm 61|Trap or Weir|Juvenile or adult fish trap or weir.|17060208|South Fork Salmon|170602|Salmon
FITSUC|522.303.215.062|Fitsum Creek, SF Salmon River Basin|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
SFSRKT|522.303.215.063|South Fork Salmon Trap at Krassel|Trap or Weir|Juvenile or adult fish trap or weir.|17060208|South Fork Salmon|170602|Salmon
BCKHRC|522.303.215.072|Buckhorn Creek, SF Salmon River|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
PHOEBC|522.303.215.076|Phoebe Creek, SF Salmon River|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
CAMP3C|522.303.215.076|Camp Creek, SF Salmon River|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
GOATC|522.303.215.099|Goat Creek, SF Salmon River|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
SALSFW|522.303.215.115|South Fork Salmon River Weir|Trap or Weir|Juvenile or adult fish trap or weir.|17060208|South Fork Salmon|170602|Salmon
SFSTRP|522.303.215.118|SF Salmon River Trap (Archaic - replaced with SALRSF or KNOXB)|Archaic|Site codes that were in use at one time, but have been retired and replaced by one or more new site codes.|17060208|South Fork Salmon|170602|Salmon
KNOXB|522.303.215.118|Knox Bridge, SF Salmon River|Other|Other physical or geographical feature.|17060208|South Fork Salmon|170602|Salmon
BEAR4C|522.303.215.120|Bear Creek, SF Salmon River|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
STOLP|522.303.215.125|Stolle Pond|Acclimation Pond|Acclimation pond or facility.|17060208|South Fork Salmon|170602|Salmon
RICEC|522.303.215.129|Rice Creek, SF Salmon River|River|Entire river or stream.|17060208|South Fork Salmon|170602|Salmon
JERSEC|522.303.223|Jersey Creek|River|Entire river or stream.|17060207|Middle Salmon-Chamberlain|170602|Salmon
BIGMAC|522.303.247|Big Mallard Creek|River|Entire river or stream.|17060207|Middle Salmon-Chamberlain|170602|Salmon
BARGAC|522.303.255|Bargamin Creek|River|Entire river or stream.|17060207|Middle Salmon-Chamberlain|170602|Salmon
SABEC|522.303.272|Sabe Creek|River|Entire river or stream.|17060207|Middle Salmon-Chamberlain|170602|Salmon
CHAMBC|522.303.282|Chamberlain Creek|River|Entire river or stream.|17060207|Middle Salmon-Chamberlain|170602|Salmon
CHAMWF|522.303.282.024|West Fork Chamberlain Creek|River|Entire river or stream.|17060207|Middle Salmon-Chamberlain|170602|Salmon
FLOSSC|522.303.282.027|Flossie Creek|River|Entire river or stream.|17060207|Middle Salmon-Chamberlain|170602|Salmon
MOOSEC|522.303.282.031|Moose Creek|River|Entire river or stream.|17060207|Middle Salmon-Chamberlain|170602|Salmon
HORSEC|522.303.301|Horse Creek|River|Entire river or stream.|17060207|Middle Salmon-Chamberlain|170602|Salmon
SALRMF|522.303.319|Middle Fork Salmon River (Archaic - replaced with reach-specific definitions)|Archaic|Site codes that were in use at one time, but have been retired and replaced by one or more new site codes.|17060206|Lower Middle Fork Salmon|170602|Salmon
SALMF1|522.303.319|Middle Fork Salmon River - mouth to Loon Creek (km 0-73)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060206|Lower Middle Fork Salmon|170602|Salmon
SALMF2|522.303.319|Middle Fork Salmon River - Loon Creek to headwaters (km 73-170)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060205|Upper Middle Fork Salmon|170602|Salmon
BIG2C|522.303.319.029|Big Creek, Middle Fork Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
BIG2CT|522.303.319.029.011|Big Creek Rotary Screw Trap|Trap or Weir|Juvenile or adult fish trap or weir.|17060206|Lower Middle Fork Salmon|170602|Salmon
RUSHC|522.303.319.029.011|Rush Creek, tributary of Big Creek, Middle Fork Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
RUSHWF|522.303.319.029.011.013|West Fork Rush Creek, Big Creek watershed, MF Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
CABINC|522.303.319.029.019|Cabin Creek, Big Creek watershed, MF Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
CAVEC|522.303.319.029.022|Cave Creek, Big Creek watershed, MF Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
BUCK2C|522.303.319.029.026|Buck Creek, Big Creek watershed, MF Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
CROO2C|522.303.319.029.038|Crooked Creek, Big Creek watershed, MF Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
MONUMC|522.303.319.029.038|Monumental Creek, Big Creek watershed, MF Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
SNOSLC|522.303.319.029.038.009|Snowslide Creek, Big Creek watershed, MF Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
MONCWF|522.303.319.029.038.024|West Fork Monumental Creek, Big Creek watershed, MF Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
BRAMYC|522.303.319.029.042|Big Ramey Creek, Big Creek watershed, MF Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
BEAV4C|522.303.319.029.049|Beaver Creek, Big Creek watershed, MF Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
SMITHC|522.303.319.029.054|Smith Creek, Big Creek watershed, MF Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
LOGANC|522.303.319.029.058|Logan Creek, Big Creek watershed, MF Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
WILSOC|522.303.319.037|Wilson Creek, Middle Fork Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
SHEPC|522.303.319.049|Sheep Creek, Middle Fork Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
CAMASC|522.303.319.057|Camas Creek, Middle Fork Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
YELLJC|522.303.319.057.007|Yellowjacket Creek, tributary of Camas Creek, Middle Fork Salmon River|River|Entire river or stream.|17060206|Lower Middle Fork Salmon|170602|Salmon
LOONC|522.303.319.073|Loon Creek|River|Entire river or stream.|17060205|Upper Middle Fork Salmon|170602|Salmon
INDIAC|522.303.319.110|Indian Creek, Middle Fork Salmon River|River|Entire river or stream.|17060205|Upper Middle Fork Salmon|170602|Salmon
PISTOC|522.303.319.118|Pistol Creek, Middle Fork Salmon River|River|Entire river or stream.|17060205|Upper Middle Fork Salmon|170602|Salmon
RAPR|522.303.319.124|Rapid River, Middle Fork Salmon River|River|Entire river or stream.|17060205|Upper Middle Fork Salmon|170602|Salmon
