"Interrogation Site Code","Interrogation Site Name","Interrogation Site Long Name","Int Site Start Date","Int Site End Date","Int Site Active","Site Type Name","Interrogation Site Subbasin Code","Interrogation Site Subbasin Name","Interrogation Site Location Start","Interrogation Site Location End","Interrogation Site Location Latitude","Interrogation Site Location Longitude","Interrogation Site Location RKM","Interrogation Site Location RKM Total","Data Steward Name","Steward Email","Steward Phone","Steward Organization","Interrogation Site Basin Name","New Metric"
"IR3","Upper Imnaha River ISA @ km 41","IR3 - Upper Imnaha River ISA @ km 41","2/1/2011","","1","Instream Remote Detection System","17060102","Imnaha","2/1/2011","","45.489957","-116.804096","522.308.041","871","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Lower Snake","1"
"IR4","Imnaha Weir Downstream Array","IR4 - Imnaha Weir Downstream Array","8/18/2016","","1","Instream Remote Detection System","17060102","Imnaha","8/18/2016","","45.194460","-116.868774","522.308.084","914","Joseph Feldhaus","joseph.feldhaus@odfw.oregon.gov","541-962-3724","ODFW","Lower Snake","1"
"IR5","Imnaha Weir Upstream Array","IR5 - Imnaha Weir Upstream Array","8/18/2016","","1","Instream Remote Detection System","17060102","Imnaha","8/18/2016","","45.193188","-116.868593","522.308.084","914","Joseph Feldhaus","joseph.feldhaus@odfw.oregon.gov","541-962-3724","ODFW","Lower Snake","1"
"JA1","Jacks Creek Seasonal IPTDS","JA1 - Jacks Creek Seasonal IPTDS","1/1/2021","","1","Instream Remote Detection System","17060306","Clearwater","1/1/2021","","46.503864","-116.549759","522.224.047.001","794","Peter Cleary","peterc@nezperce.org","208-476-4920 x3572","NPT","Clearwater","1"
"JCJ","Jack Creek Acc. Pond","JCJ - Jack Creek Acc. Pond","2/18/2000","","1","Monitored Fish Release","17030001","Upper Yakima","2/18/2000","","47.324642","-120.854193","539.284.017.009","849","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Yakima","1"
"JD1","John Day River, McDonald Ferry","JD1 - John Day River, McDonald Ferry","9/1/2007","","1","Instream Remote Detection System","17070204","Lower John Day","9/1/2007","","45.595740","-120.410928","351.032","383","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","John Day","1"
"JDC","Cottonwood Creek, NF John Day","JDC - Cottonwood Creek, NF John Day","9/7/2018","","1","Instream Remote Detection System","17070202","North Fork John Day","9/7/2018","","44.811143","-119.419560","351.298.025.001","675","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","John Day","1"
"JDJ","John Day Dam Juvenile","JDJ - John Day Dam Juvenile","1/1/1992","","1","Juvenile Fish Bypass Facility","17070105","Middle Columbia-Hood","1/1/1992","","45.710014","-120.692581","347","347","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Middle Columbia","1"
"JDM","Upper John Day River Array","JDM - Upper John Day River Array","12/14/2015","","1","Instream Remote Detection System","17070201","Upper John Day","12/14/2015","","44.458194","-119.431056","351.347","698","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","John Day","1"
"JO1","John Day South Fish Ladder","JO1 - John Day South Fish Ladder","2/27/2017","","1","Adult Fishway","17070105","Middle Columbia-Hood","2/27/2017","","45.711138","-120.689427","347","347","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Middle Columbia","1"
"JO2","John Day North Fish Ladder","JO2 - John Day North Fish Ladder","2/27/2017","","1","Adult Fishway","17070105","Middle Columbia-Hood","2/27/2017","","45.718658","-120.697771","347","347","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Middle Columbia","1"
"JOC","Joseph Creek ISA @ km 3","JOC - Joseph Creek ISA @ km 3","10/1/2010","","1","Instream Remote Detection System","17060106","Lower Grande Ronde","10/1/2010","","46.030237","-117.016408","522.271.007.003","803","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Lower Snake","1"
"JOH","Johnson Creek","JOH - Johnson Creek","3/1/2014","","1","Instream Remote Detection System","17020006","Okanogan","3/1/2014","12/20/2018","48.501091","-119.506347","858.066.001","925","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"JOH","Johnson Creek","JOH - Johnson Creek","3/1/2014","","1","Instream Remote Detection System","17020006","Okanogan","12/20/2018","","48.502035","-119.504815","858.066.001","925","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"JPT","Juvenile Pond Touchet","JPT - Juvenile Pond Touchet","7/12/2016","","1","Instream Remote Detection System","17070102","Walla Walla","7/12/2016","8/2/2021","46.312881","-117.973529","509.035.087","631","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","Middle Columbia","1"
"JPT","Juvenile Pond Touchet","JPT - Juvenile Pond Touchet","7/12/2016","","1","Instream Remote Detection System","17070102","Walla Walla","8/2/2021","","46.313717","-117.975088","509.035.087","631","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","Middle Columbia","1"
"JUL","Potlatch River near Juliaetta","JUL - Potlatch River near Juliaetta","10/2/2008","5/22/2013","0","Instream Remote Detection System","17060306","Clearwater","10/2/2008","5/22/2013","46.565323","-116.709318","522.224.024.014","784","Brian Knoth","Brian.Knoth@idfg.idaho.gov","208-750-4230","IDFG","Clearwater","1"
"KCB","Kiwanis Camp Bridge, Mill C","KCB - Kiwanis Camp Bridge, Mill C","4/16/2005","4/1/2011","0","Instream Remote Detection System","17070102","Walla Walla","4/16/2005","4/1/2011","45.998915","-118.113805","509.054.035","598","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","Middle Columbia","1"
"KEN","Kenney Creek In-stream Arrays","KEN - Kenney Creek In-stream Arrays","6/1/2010","","1","Instream Remote Detection System","17060204","Lemhi","6/1/2010","9/3/2015","45.027030","-113.658010","522.303.416.029.000","1270","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"KEN","Kenney Creek In-stream Arrays","KEN - Kenney Creek In-stream Arrays","6/1/2010","","1","Instream Remote Detection System","17060204","Lemhi","9/3/2015","6/29/2018","45.027108","-113.654018","522.303.416.029.000","1270","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"KEN","Kenney Creek In-stream Arrays","KEN - Kenney Creek In-stream Arrays","6/1/2010","","1","Instream Remote Detection System","17060204","Lemhi","6/29/2018","","45.026792","-113.654847","522.303.416.029.000","1270","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"KHS","Big Bear Cr. @ Kendrick HS","KHS - Big Bear Cr. @ Kendrick HS","12/1/2007","","1","Instream Remote Detection System","17060306","Clearwater","12/1/2007","","46.619115","-116.646846","522.224.024.023.000","793","Brian Knoth","Brian.Knoth@idfg.idaho.gov","208-750-4230","IDFG","Clearwater","1"
"KLR","Klickitat Riv. Floating Array","KLR - Klickitat Riv. Floating Array","4/17/2017","","1","Instream Remote Detection System","17070106","Klickitat","4/17/2017","","45.720309","-121.255137","290.005","295","Mike Babcock","mbabcock@ykfp.org","509-369-3271","YINN","Middle Columbia","1"
"KRS","SF Salmon River at Krassel Cr.","KRS - SF Salmon River at Krassel Cr.","1/22/2008","","1","Instream Remote Detection System","17060208","South Fork Salmon","1/22/2008","","44.978472","-115.726994","522.303.215.065","1105","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"LAP","Lapwai Creek, near its mouth","LAP - Lapwai Creek, near its mouth","10/1/2008","","1","Instream Remote Detection System","17060306","Clearwater","10/1/2008","","46.443273","-116.812535","522.224.019.001","766","","","","","Clearwater","1"
"LB8","Big Eightmile Creek","LB8 - Big Eightmile Creek","7/6/2015","3/21/2018","0","Instream Remote Detection System","17060204","Lemhi","7/6/2015","3/21/2018","44.738218","-113.462458","522.303.416.073.001","1315","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"LBC","Libby Creek, Methow River","LBC - Libby Creek, Methow River","1/1/2009","","1","Instream Remote Detection System","17020008","Methow","1/1/2009","","48.230250","-120.117672","843.042.001","886","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","Upper Columbia","1"
"LBS","Big Springs Creek","LBS - Big Springs Creek","4/1/2014","","1","Instream Remote Detection System","17060204","Lemhi","4/1/2014","","44.727349","-113.433214","522.303.416.077.001","1319","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"LBT","Little Bridge Creek (Twisp R.)","LBT - Little Bridge Creek (Twisp R.)","6/1/2012","6/9/2015","0","Instream Remote Detection System","17020008","Methow","6/1/2012","6/9/2015","48.380750","-120.286700","843.066.014.001","924","Keely Murdoch","murk@yakamafish-nsn.gov","509-548-2206","YINN","Upper Columbia","1"
"LC1","Lower Lolo Creek at rkm 21","LC1 - Lower Lolo Creek at rkm 21","11/1/2011","","1","Instream Remote Detection System","17060306","Clearwater","11/1/2011","","46.294360","-115.976160","522.224.087.021","854","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Clearwater","1"
"LC2","Upper Lolo Creek at rkm 25","LC2 - Upper Lolo Creek at rkm 25","11/1/2011","","1","Instream Remote Detection System","17060306","Clearwater","11/1/2011","","46.290498","-115.933747","522.224.087.025","858","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Clearwater","1"
"LCL","Lee Creek, Lemhi R. Basin","LCL - Lee Creek, Lemhi R. Basin","12/21/2013","4/11/2018","0","Instream Remote Detection System","17060204","Lemhi","12/21/2013","4/11/2018","44.747074","-113.474641","522.303.416.079.001","1321","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"LD1","Lebanon Dam South Ladder","LD1 - Lebanon Dam South Ladder","5/27/2015","11/15/2018","0","Adult Fishway","17090006","South Santiam","5/27/2015","11/15/2018","44.516100","-122.862744","163.174.019.032","388","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Willamette","1"
"LD2","Lebanon Dam North Ladder","LD2 - Lebanon Dam North Ladder","4/16/2015","12/16/2018","0","Adult Fishway","17090006","South Santiam","4/16/2015","12/16/2018","44.517113","-122.862786","163.174.019.032","388","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Willamette","1"
"LD3","Lebanon Dam Diversion Bypass","LD3 - Lebanon Dam Diversion Bypass","4/30/2015","11/15/2018","0","Juvenile Fish Bypass Facility","17090006","South Santiam","4/30/2015","11/15/2018","44.515356","-122.862182","163.174.019.032","388","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Willamette","1"
"LD4","Lebanon Dam Spillway","LD4 - Lebanon Dam Spillway","10/1/2015","11/13/2018","0","Juvenile Fish Bypass Facility","17090006","South Santiam","10/1/2015","11/13/2018","44.516647","-122.862835","163.174.019.032","388","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Willamette","1"
"LEA","Leaburg Dam Combined Fishways","LEA - Leaburg Dam Combined Fishways","12/1/2009","9/5/2018","0","Combined Dam Location","17090004","Mckenzie","12/1/2009","9/5/2018","44.136842","-122.612390","163.282.056.000","501","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Willamette","1"
"LEL","Leaburg Dam Fish Ladders","LEL - Leaburg Dam Fish Ladders","4/27/2018","7/8/2019","0","Adult Fishway","17090004","Mckenzie","4/27/2018","7/8/2019","44.137651","-122.612041","163.282.056","501","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Willamette","1"
"LFF","Lyle Falls Fishway","LFF - Lyle Falls Fishway","8/17/2011","","1","Adult Fishway","17070106","Klickitat","8/17/2011","","45.716414","-121.259747","290.004","294","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Middle Columbia","1"
"LHC","Leavenworth NFH Coho Releases","LHC - Leavenworth NFH Coho Releases","4/16/2011","","1","Monitored Fish Release","17020011","Wenatchee","4/16/2011","","47.558898","-120.674835","754.041.005","800","Jeffrey Caisman","caij@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"LKR","Little Klickitat River Array","LKR - Little Klickitat River Array","1/24/2017","","1","Instream Remote Detection System","17070106","Klickitat","1/24/2017","","45.844255","-121.059839","290.033.001","324","Mike Babcock","mbabcock@ykfp.org","509-369-3271","YINN","Middle Columbia","1"
"LLC","Loup Loup Creek Instream Array","LLC - Loup Loup Creek Instream Array","3/7/2013","","1","Instream Remote Detection System","17020006","Okanogan","3/7/2013","","48.283501","-119.708240","858.028.001","887","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"LLR","Lower Lemhi River","LLR - Lower Lemhi River","8/1/2009","","1","Instream Remote Detection System","17060204","Lemhi","8/1/2009","","45.176475","-113.885278","522.303.416.001","1242","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"LLS","Lemhi Little Springs Instream","LLS - Lemhi Little Springs Instream","6/14/2011","","1","Instream Remote Detection System","17060204","Lemhi","6/14/2011","","44.780552","-113.545027","522.303.416.066.000","1307","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"LMA","Lower Monumental Adult Ladders","LMA - Lower Monumental Adult Ladders","1/30/2014","","1","Adult Fishway","17060110","Lower Snake","1/30/2014","","46.562564","-118.538249","522.067","589","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Snake","1"
"LMB","Lower Methow River Barge","LMB - Lower Methow River Barge","8/1/2022","","1","Instream Remote Detection System","17020008","Methow","8/1/2022","","48.046242","-119.915240","843.001","844","Nathaniel Fuchs","Nathaniel.fuchs@dfw.wa.gov","","WDFW","Upper Columbia","1"
"LMC","Lower Manastash Creek","LMC - Lower Manastash Creek","12/16/2013","","1","Instream Remote Detection System","17030001","Upper Yakima","12/16/2013","","46.988614","-120.602197","539.253.002","794","Zack Mays","zack_mays@yakama.com","","YINN","Yakima","1"
"LMJ","Lower Monumental Dam Juvenile","LMJ - Lower Monumental Dam Juvenile","4/25/1993","","1","Juvenile Fish Bypass Facility","17060110","Lower Snake","4/25/1993","","46.562954","-118.543164","522.067","589","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Snake","1"
"LMR","Lower Methow River at Pateros","LMR - Lower Methow River at Pateros","3/1/2009","","1","Instream Remote Detection System","17020008","Methow","3/1/2009","8/18/2017","48.054608","-119.928121","843.003","846","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","Upper Columbia","1"
"LMR","Lower Methow River at Pateros","LMR - Lower Methow River at Pateros","3/1/2009","","1","Instream Remote Detection System","17020008","Methow","8/18/2017","","48.074923","-119.956143","843.008","851","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","Upper Columbia","1"
"LMT","Lower Mainstem Teanaway River","LMT - Lower Mainstem Teanaway River","5/1/2010","","1","Instream Remote Detection System","17030001","Upper Yakima","5/1/2010","10/15/2018","47.170655","-120.834851","539.284.000","823","Zack Mays","zack_mays@yakama.com","","YINN","Yakima","1"
"LMT","Lower Mainstem Teanaway River","LMT - Lower Mainstem Teanaway River","5/1/2010","","1","Instream Remote Detection System","17030001","Upper Yakima","10/15/2018","","47.174326","-120.836400","539.284.000","823","Zack Mays","zack_mays@yakama.com","","YINN","Yakima","1"
"LNF","Leavenworth NFH Adult Ladder","LNF - Leavenworth NFH Adult Ladder","5/15/2012","","1","Hatchery Returns","17020011","Wenatchee","5/15/2012","","47.558465","-120.672248","754.041.005","800","Matt Cooper","Matt_cooper@fws.gov","509-548-7573","USFWS","Upper Columbia","1"
"LNR","Lower Naches River","LNR - Lower Naches River","11/6/2016","5/30/2020","0","Instream Remote Detection System","17030002","Naches","11/6/2016","5/30/2020","46.631484","-120.578716","539.187.005","731","Zack Mays","zack_mays@yakama.com","","YINN","Yakima","1"
"LOP","Lostine River Acc. Pond","LOP - Lostine River Acc. Pond","1/1/2002","4/24/2014","0","Monitored Fish Release","17060105","Wallowa","1/1/2002","4/24/2014","45.420648","-117.425588","522.271.131.042.021","987","Shane Vatland","shanev@nezperce.org","541-432-2508","NPT","Lower Snake","1"
"LOR","Lost River at rkm 0.81","LOR - Lost River at rkm 0.81","3/22/2013","8/18/2017","0","Instream Remote Detection System","17020008","Methow","3/22/2013","8/18/2017","48.655382","-120.505688","843.122.001","966","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"LRH","Lewis River Hatchery Returns","LRH - Lewis River Hatchery Returns","8/26/2020","","1","Hatchery Returns","17080002","Lewis","8/26/2020","","45.936517","-122.616282","140.025","165","Mark Ferraiolo","mark.ferraiolo@pacificorp.com","360-225-4446","PCE","Lower Columbia","1"
"LRL","Lower Lochsa River Array Site","LRL - Lower Lochsa River Array Site","10/10/2016","","1","Instream Remote Detection System","17060303","Lochsa","10/10/2016","","46.145727","-115.596497","522.224.120.037.001","904","Jason Fortier","Jason.fortier@idfg.idaho.gov","208-799-5010","IDFG","Clearwater","1"
"LRU","Lochsa River Upper Site","LRU - Lochsa River Upper Site","12/5/2017","","1","Instream Remote Detection System","17060303","Lochsa","12/5/2017","","46.163821","-115.589663","522.224.120.037.003","906","Jason Fortier","Jason.fortier@idfg.idaho.gov","208-799-5010","IDFG","Clearwater","1"
"LRW","Lemhi River Weir","LRW - Lemhi River Weir","8/1/2009","","1","Instream Remote Detection System","17060204","Lemhi","8/1/2009","","44.865960","-113.624721","522.303.416.050","1291","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"LTP","Lower Twisp Acclimation Pond","LTP - Lower Twisp Acclimation Pond","3/15/2011","","1","Monitored Fish Release","17020008","Methow","3/15/2011","","48.366460","-120.139009","843.066.002","911","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"LTR","Lower Tucannon River","LTR - Lower Tucannon River","10/13/2005","","1","Instream Remote Detection System","17060107","Lower Snake-Tucannon","10/13/2005","","46.544192","-118.162901","522.100.003","625","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","Lower Snake","1"
"LWB","Lower Wenatchee Barge","LWB - Lower Wenatchee Barge","6/16/2022","","1","Instream Remote Detection System","17020011","Wenatchee","6/16/2022","","47.459555","-120.340203","754.001","755","Matthew Stilwater","matthew.stilwater@dfw.wa.gov","509-664-3148","WDFW","Upper Columbia","1"
"LWC","Lower Wenas Creek","LWC - Lower Wenas Creek","2/27/2018","","1","Instream Remote Detection System","17030001","Upper Yakima","2/27/2018","","46.705098","-120.503685","539.197.002","738","Zack Mays","zack_mays@yakama.com","","YINN","Yakima","1"
"LWD","Lowden Diversion Dam","LWD - Lowden Diversion Dam","11/29/2007","10/24/2013","0","Instream Remote Detection System","17070102","Walla Walla","11/29/2007","10/24/2013","46.043121","-118.525822","509.051","560","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","Middle Columbia","1"
"LWE","Lower Wenatchee River","LWE - Lower Wenatchee River","10/1/2009","","1","Instream Remote Detection System","17020011","Wenatchee","10/1/2009","11/1/2013","47.464950","-120.350639","754.002","756","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"LWE","Lower Wenatchee River","LWE - Lower Wenatchee River","10/1/2009","","1","Instream Remote Detection System","17020011","Wenatchee","11/1/2013","","47.464893","-120.350162","754.003","757","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"LWL","Ltl. White Salmon NFH returns","LWL - Ltl. White Salmon NFH returns","10/1/2009","","1","Hatchery Returns","17070105","Middle Columbia-Hood","10/1/2009","","45.721799","-121.640678","261.003","264","Rikeem Sholes","rikeem_sholes@fws.gov","504-982-5075","USFWS","Middle Columbia","1"
"LWN","Little Wenatchee River","LWN - Little Wenatchee River","4/1/2009","","1","Instream Remote Detection System","17020011","Wenatchee","4/1/2009","","47.834251","-120.838918","754.090.008.004","856","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"M3R","3R side channel Methow River","M3R - 3R side channel Methow River","11/4/2014","10/8/2018","0","Instream Remote Detection System","17020008","Methow","11/4/2014","10/8/2018","48.434750","-120.157037","843.075","918","Jennifer Molesworth","jmolesworth@usbr.gov","509-997-0028","BOR","Upper Columbia","1"
"MAD","Mad River, Entiat River Basin","MAD - Mad River, Entiat River Basin","10/1/2007","","1","Instream Remote Detection System","17020010","Upper Columbia-Entiat","10/1/2007","","47.736851","-120.368739","778.017.001","796","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"MAR","Marsh Cr at Lola Cr Campground","MAR - Marsh Cr at Lola Cr Campground","10/17/2019","","1","Instream Remote Detection System","17060205","Upper Middle Fork Salmon","10/17/2019","","44.408689","-115.179841","522.303.319.170.008","1322","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"MBD","Mill Crk Bennington Diversion","MBD - Mill Crk Bennington Diversion","12/8/2021","","1","Combined Dam Location","17070102","Walla Walla","12/8/2021","","46.079843","-118.254402","509.054.019","582","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","Middle Columbia","1"
"MC1","McNary Oregon Shore Ladder","MC1 - McNary Oregon Shore Ladder","3/7/2002","","1","Adult Fishway","17070101","Middle Columbia-Lake Wallula","3/7/2002","","45.928565","-119.296606","470","470","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Middle Columbia","1"
"MC2","McNary Washington Shore Ladder","MC2 - McNary Washington Shore Ladder","1/1/1994","","1","Adult Fishway","17070101","Middle Columbia-Lake Wallula","1/1/1994","","45.939935","-119.299824","470","470","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Middle Columbia","1"
"MCD","Mill Creek Diversion Project","MCD - Mill Creek Diversion Project","2/25/2005","12/8/2021","0","Combined Dam Location","17070102","Walla Walla","2/25/2005","12/8/2021","46.079843","-118.254402","509.054.019","582","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","Middle Columbia","1"
"MCI","Mill Creek Intake Dam","MCI - Mill Creek Intake Dam","6/1/2011","2/2/2017","0","Adult Fishway","17070102","Walla Walla","6/1/2011","2/2/2017","45.990016","-118.048399","509.054.041","604","Brian Davis","brian_davis@fws.gov","503-975-9898","USFWS","Middle Columbia","1"
"MCJ","McNary Dam Juvenile","MCJ - McNary Dam Juvenile","1/1/1986","","1","Juvenile Fish Bypass Facility","17070101","Middle Columbia-Lake Wallula","1/1/1986","","45.932293","-119.299900","470","470","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Middle Columbia","1"
"MCL","Lower Mission Creek Instream","MCL - Lower Mission Creek Instream","10/4/2011","","1","Instream Remote Detection System","17020011","Wenatchee","10/4/2011","","47.518179","-120.472629","754.017.001","772","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"MCX","MCNARY JUVENILE EXPERIMENTAL","MCX - MCNARY JUVENILE EXPERIMENTAL","2/20/1998","2/20/2003","0","Juvenile Fish Bypass Facility","17070101","Middle Columbia-Lake Wallula","2/20/1998","2/20/2003","45.932089","-119.299562","470","470","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Middle Columbia","1"
"MDR","McDonald Road Bridge","MDR - McDonald Road Bridge","9/25/2012","1/14/2018","0","Instream Remote Detection System","17070102","Walla Walla","9/25/2012","1/14/2018","46.047870","-118.554800","509.041","550","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","Middle Columbia","1"
"MDW","Mill Creek Division Works","MDW - Mill Creek Division Works","12/8/2021","","1","Adult Fishway","17070102","Walla Walla","12/8/2021","","46.076705","-118.272888","509.054.017","580","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","Middle Columbia","1"
"MEG","Megler Cr.-Col. R. Estuary","MEG - Megler Cr.-Col. R. Estuary","6/27/2017","","1","Instream Remote Detection System","17080006","Lower Columbia","6/27/2017","","46.249788","-123.863942","013.000","13","April Silva","asilva@columbiaestuary.org","503-325-0435 x215","CREST","Lower Columbia","1"
"MEM","Eightmile Acclimation Pond","MEM - Eightmile Acclimation Pond","3/15/2019","","1","Monitored Fish Release","17020008","Methow","3/15/2019","","48.591924","-120.165634","843.080.017","940","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"MEW","Early Winters Acclimation Pond","MEW - Early Winters Acclimation Pond","3/15/2019","","1","Monitored Fish Release","17020008","Methow","3/15/2019","","48.597458","-120.442708","843.113.001","957","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"MHB","Habermehl side channel Methow","MHB - Habermehl side channel Methow","11/6/2014","10/4/2016","0","Instream Remote Detection System","17020008","Methow","11/6/2014","10/4/2016","48.404351","-120.135781","843.070","913","Jennifer Molesworth","jmolesworth@usbr.gov","509-997-0028","BOR","Upper Columbia","1"
"MHP","Merwin Hydroeletric Project","MHP - Merwin Hydroeletric Project","10/19/2016","","1","Adult Fishway","17080002","Lewis","10/19/2016","","45.956473","-122.555457","140.031","171","Mark Ferraiolo","mark.ferraiolo@pacificorp.com","360-225-4446","PCE","Lower Columbia","1"
"MIN","Mine Reach of Wind River, WA","MIN - Mine Reach of Wind River, WA","9/12/2019","","1","Instream Remote Detection System","17070105","Middle Columbia-Hood","9/12/2019","","45.922676","-121.945794","251.036","287","Ian Jezorek","ijezorek@usgs.gov","509-528-2908","USGS","Middle Columbia","1"
"MIS","Mission Creek","MIS - Mission Creek","12/23/2010","4/9/2019","0","Instream Remote Detection System","17060306","Clearwater","12/23/2010","4/9/2019","46.367062","-116.735597","522.224.019.016.001","782","","","","","Clearwater","1"
"MJ1","Middle Fork John Day Array","MJ1 - Middle Fork John Day Array","11/6/2013","","1","Instream Remote Detection System","17070203","Middle Fork John Day","11/6/2013","","44.741933","-118.851057","351.298.052.068","769","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","John Day","1"
"MJ2","Middle Fork John Day Ritter","MJ2 - Middle Fork John Day Ritter","1/31/2019","","1","Instream Remote Detection System","17070203","Middle Fork John Day","1/31/2019","","44.890882","-119.142501","351.298.052.024","725","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","John Day","1"
"MR1","Minam River at river km 0.5","MR1 - Minam River at river km 0.5","2/20/2020","","1","Instream Remote Detection System","17060105","Wallowa","2/20/2020","","45.619623","-117.726570","522.271.131.016.001","941","Shane Vatland","shanev@nezperce.org","541-432-2508","NPT","Lower Snake","1"
"MRB","Methow River Basin","MRB - Methow River Basin","9/15/2004","1/1/2009","0","Instream Remote Detection System","17020008","Methow","9/15/2004","1/1/2009","48.314800","-120.088300","","0","Kyle Martens","Kyle.Martens@dnr.wa.gov","360-902-1272","WDNR","Upper Columbia","1"
"MRC","Methow River at Carlton","MRC - Methow River at Carlton","9/21/2015","","1","Instream Remote Detection System","17020008","Methow","9/21/2015","","48.246996","-120.118464","843.045","888","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"MRT","Methow River at Twisp","MRT - Methow River at Twisp","9/28/2009","8/25/2016","0","Instream Remote Detection System","17020008","Methow","9/28/2009","8/25/2016","48.374112","-120.121573","843.067","910","Jennifer Molesworth","jmolesworth@usbr.gov","509-997-0028","BOR","Upper Columbia","1"
"MRW","Methow River at Winthrop","MRW - Methow River at Winthrop","9/21/2009","","1","Instream Remote Detection System","17020008","Methow","9/21/2009","","48.487797","-120.228681","843.085","928","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","Upper Columbia","1"
